run_id,timestamp,git_commit,task,model,generator,seed,alpha,beta,num_generated_samples,mixture_components,covariance_type,learning_rate,batch_size,epochs,solver,solver_version,hardware,train_time_seconds,eval_time_seconds,inference_time_seconds,metric_regret,metric_cvar_regret,metric_cvar_01_regret,metric_objective,metric_proxy_regret,metric_true_regret,metric_nll,metric_true_nll,metric_q_nll,metric_mse,metric_feasibility_violation,w2_proxy_true,sliced_wasserstein_true_model,proxy_shift_norm,q_architecture,p_theta_architecture,q_pretrain_epochs,p_theta_pretrain_epochs,status,notes,raw_log_path,stdout_path,stderr_path,returncode,runtime_seconds,dirty_status,exact_command
20260506T193244Z_f0acd3b4,2026-05-06T19:32:44.206844+00:00,c25b1bb1d44a40192a6bf0cd4dc637222e48d55f,smoke_tests,metadata,none,0,,,,,,,,,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": false, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",0.004224875010550022,,,,,,,,,,,,,,,,,,none,,,success,wrapper metadata smoke,results/raw/20260506T193244Z_f0acd3b4.json,logs/smoke_tests/20260506T193244Z_f0acd3b4.stdout.log,logs/smoke_tests/20260506T193244Z_f0acd3b4.stderr.log,0,0.004224875010550022,"M README.md
 M __pycache__/optModel.cpython-312.pyc
 M end2end_cflowdfl_knapsack.py
 M end2end_cflowdfl_portfolio_alpha.py
 M end2end_cflowdfl_portfolio_cvar.py
 M end2end_cflowdfl_shortp.py
 M end2end_diffusion_portfolio.py
 M optDataset.py
 M pred_dfl_knapsack.py
 M pred_dfl_portfolio.py
 M pred_dfl_shortp.py
 M train.py
?? __pycache__/diffusion.cpython-312.pyc
?? __pycache__/end2end_cflowdfl_knapsack.cpython-312.pyc
?? __pycache__/end2end_cflowdfl_portfolio_alpha.cpython-312.pyc
?? __pycache__/end2end_cflowdfl_portfolio_cvar.cpython-312.pyc
?? __pycache__/end2end_cflowdfl_shortp.cpython-312.pyc
?? __pycache__/end2end_diffusion_portfolio.cpython-312.pyc
?? __pycache__/optDataset.cpython-312.pyc
?? __pycache__/pred_dfl_knapsack.cpython-312.pyc
?? __pycache__/pred_dfl_portfolio.cpython-312.pyc
?? __pycache__/pred_dfl_shortp.cpython-312.pyc
?? __pycache__/synthetic_power_data.cpython-312.pyc
?? __pycache__/train.cpython-312.pyc
?? __pycache__/utils.cpython-312.pyc
?? configs/
?? func/__pycache__/abcmodule.cpython-312.pyc
?? func/__pycache__/contrastive.cpython-312.pyc
?? func/__pycache__/rank.cpython-312.pyc
?? func/__pycache__/spo.cpython-312.pyc
?? func/__pycache__/utils.cpython-312.pyc
?? paper/
?? scripts/
?? src/
?? tests/",/Users/zilikons/conda/envs/gendfl/bin/python --version
20260506T194035Z_c17429e8,2026-05-06T19:40:35.488192+00:00,c25b1bb1d44a40192a6bf0cd4dc637222e48d55f,portfolio,gen-dfl,gmm,42,1.0,100,10,1,diagonal,,8,1,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": false, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",15.389609333826229,,,,,,,,,,,,,,,,,,gmm,,1,success,,results/raw/20260506T194035Z_c17429e8.json,logs/portfolio/20260506T194035Z_c17429e8.stdout.log,logs/portfolio/20260506T194035Z_c17429e8.stderr.log,0,15.389609333826229,"M .gitignore
 M README.md
 M end2end_cflowdfl_knapsack.py
 M end2end_cflowdfl_portfolio_alpha.py
 M end2end_cflowdfl_portfolio_cvar.py
 M end2end_cflowdfl_shortp.py
 M end2end_diffusion_portfolio.py
 M optDataset.py
 M pred_dfl_knapsack.py
 M pred_dfl_portfolio.py
 M pred_dfl_shortp.py
 M train.py
?? configs/
?? docs/
?? logs/
?? paper/
?? results/
?? scripts/
?? src/
?? tests/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --mixture_components 1 --seed 42 --betas 100 --n 20 --m 5 --num_epochs 1 --batch_size 8 --num_generated_samples 10 --contextual_pretrain_epochs 1 --p_theta_pretrain_epochs 1 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0
20260506T194104Z_42ba9035,2026-05-06T19:41:04.986177+00:00,c25b1bb1d44a40192a6bf0cd4dc637222e48d55f,portfolio,gen-dfl,cnf,42,1.0,100,10,,,,8,1,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": false, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",13.902443999890238,,,,,,,,,,,,,,,,,,cnf,,1,success,,results/raw/20260506T194104Z_42ba9035.json,logs/portfolio/20260506T194104Z_42ba9035.stdout.log,logs/portfolio/20260506T194104Z_42ba9035.stderr.log,0,13.902443999890238,"M .gitignore
 M README.md
 M __pycache__/optModel.cpython-312.pyc
 M end2end_cflowdfl_knapsack.py
 M end2end_cflowdfl_portfolio_alpha.py
 M end2end_cflowdfl_portfolio_cvar.py
 M end2end_cflowdfl_shortp.py
 M end2end_diffusion_portfolio.py
 M optDataset.py
 M pred_dfl_knapsack.py
 M pred_dfl_portfolio.py
 M pred_dfl_shortp.py
 M train.py
?? __pycache__/optDataset.cpython-312.pyc
?? configs/
?? contextual_loss_curve.png
?? docs/
?? eval/
?? func/__pycache__/__init__.cpython-312.pyc
?? func/__pycache__/contrastive.cpython-312.pyc
?? logs/
?? paper/
?? results/
?? scripts/
?? src/
?? tests/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator cnf --seed 42 --betas 100 --n 20 --m 5 --num_epochs 1 --batch_size 8 --num_generated_samples 10 --contextual_pretrain_epochs 1 --p_theta_pretrain_epochs 1 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0
20260506T194251Z_a6a56c98,2026-05-06T19:42:51.631557+00:00,c25b1bb1d44a40192a6bf0cd4dc637222e48d55f,portfolio,gen-dfl,gmm,42,1.0,100,10,1,diagonal,,8,1,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": false, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",13.9965936250519,,,,,,,,,,,,,,,,,,gmm,,1,success,,results/raw/20260506T194251Z_a6a56c98.json,logs/portfolio/20260506T194251Z_a6a56c98.stdout.log,logs/portfolio/20260506T194251Z_a6a56c98.stderr.log,0,13.9965936250519,"M .gitignore
 M README.md
 M end2end_cflowdfl_knapsack.py
 M end2end_cflowdfl_portfolio_alpha.py
 M end2end_cflowdfl_portfolio_cvar.py
 M end2end_cflowdfl_shortp.py
 M end2end_diffusion_portfolio.py
 M optDataset.py
 M pred_dfl_knapsack.py
 M pred_dfl_portfolio.py
 M pred_dfl_shortp.py
 M train.py
?? configs/
?? contextual_loss_curve.png
?? docs/
?? eval/
?? logs/
?? paper/
?? results/
?? scripts/
?? src/
?? tests/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --mixture_components 1 --seed 42 --betas 100 --n 20 --m 5 --num_epochs 1 --batch_size 8 --num_generated_samples 10 --contextual_pretrain_epochs 1 --p_theta_pretrain_epochs 1 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0
20260506T201850Z_3ba02494,2026-05-06T20:18:50.666335+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,cnf,42,1.0,100,200,,,0.001,32,1,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",5.750383500009775,,,,,,,,,,,,,,,,,,cnf,30,50,success,,results/raw/20260506T201850Z_3ba02494.json,logs/portfolio/20260506T201850Z_3ba02494.stdout.log,logs/portfolio/20260506T201850Z_3ba02494.stderr.log,0,5.750383500009775,"?? src/__pycache__/
?? src/evaluation/__pycache__/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator cnf --seed 42 --betas 100 --n 20 --m 5 --num_epochs 1 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0
20260506T202401Z_79d43d84,2026-05-06T20:24:01.016557+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,gmm,42,1.0,100,200,1,diagonal,0.001,32,1,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",5.083113624947146,,,,,,,,,,,,,,,,,,gmm,30,50,success,,results/raw/20260506T202401Z_79d43d84.json,logs/portfolio/20260506T202401Z_79d43d84.stdout.log,logs/portfolio/20260506T202401Z_79d43d84.stderr.log,0,5.083113624947146,"M __pycache__/optModel.cpython-312.pyc
 M results/raw/portfolio_generator_comparison.jsonl
 M results/raw/run_registry.csv
?? __pycache__/optDataset.cpython-312.pyc
?? func/__pycache__/__init__.cpython-312.pyc
?? func/__pycache__/contrastive.cpython-312.pyc
?? src/__pycache__/
?? src/evaluation/__pycache__/
?? src/generators/__pycache__/
?? src/training/__pycache__/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --mixture_components 1 --seed 42 --betas 100 --n 20 --m 5 --num_epochs 1 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0
20260506T204404Z_723c34ee,2026-05-06T20:44:04.928937+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,gmm,42,1.0,100,200,"[1, 2, 3, 5, 10]",diagonal,0.001,32,10,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",1.339175916975364,,,,,,,,,,,,,,,,,,gmm,30,50,failed,,results/raw/20260506T204404Z_723c34ee.json,logs/portfolio/20260506T204404Z_723c34ee.stdout.log,logs/portfolio/20260506T204404Z_723c34ee.stderr.log,2,1.339175916975364,"M README.md
 M configs/portfolio/cnf_main.yaml
 M pred_dfl_portfolio.py
 M results/processed/aggregated_results.csv
 M results/raw/portfolio_generator_comparison.jsonl
 M results/raw/run_registry.csv
 M tests/test_reproducibility_scripts.py
?? scripts/run_portfolio_config.py
?? src/__pycache__/
?? src/evaluation/__pycache__/","/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --seed 42 --betas 100 --n 200 --m 50 --num_epochs 10 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0 --mixture_components '[1, 2, 3, 5, 10]'"
20260506T204749Z_942ce4c2,2026-05-06T20:47:49.188443+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,gmm,42,1.0,100,200,1,diagonal,0.001,32,10,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",70.7428302501794,,,,,,,,,,,,,,,,,,gmm,30,50,success,,results/raw/20260506T204749Z_942ce4c2.json,logs/portfolio/20260506T204749Z_942ce4c2.stdout.log,logs/portfolio/20260506T204749Z_942ce4c2.stderr.log,0,70.7428302501794,"M README.md
 M configs/portfolio/cnf_main.yaml
 M pred_dfl_portfolio.py
 M results/processed/aggregated_results.csv
 M results/raw/portfolio_generator_comparison.jsonl
 M results/raw/run_registry.csv
 M tests/test_reproducibility_scripts.py
?? configs/portfolio/gmm_k_sweep.yaml
?? scripts/run_portfolio_config.py
?? src/__pycache__/
?? src/evaluation/__pycache__/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --seed 42 --betas 100 --n 200 --m 50 --num_epochs 10 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0 --mixture_components 1
20260506T204900Z_4c3355a3,2026-05-06T20:49:00.659038+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,gmm,43,1.0,100,200,1,diagonal,0.001,32,10,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",72.96204566699453,,,,,,,,,,,,,,,,,,gmm,30,50,success,,results/raw/20260506T204900Z_4c3355a3.json,logs/portfolio/20260506T204900Z_4c3355a3.stdout.log,logs/portfolio/20260506T204900Z_4c3355a3.stderr.log,0,72.96204566699453,"M README.md
 M __pycache__/optModel.cpython-312.pyc
 M configs/portfolio/cnf_main.yaml
 M pred_dfl_portfolio.py
 M results/processed/aggregated_results.csv
 M results/raw/portfolio_generator_comparison.jsonl
 M results/raw/run_registry.csv
 M tests/test_reproducibility_scripts.py
?? __pycache__/optDataset.cpython-312.pyc
?? configs/portfolio/gmm_k_sweep.yaml
?? func/__pycache__/__init__.cpython-312.pyc
?? func/__pycache__/contrastive.cpython-312.pyc
?? scripts/run_portfolio_config.py
?? src/__pycache__/
?? src/evaluation/__pycache__/
?? src/generators/__pycache__/
?? src/training/__pycache__/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --seed 43 --betas 100 --n 200 --m 50 --num_epochs 10 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0 --mixture_components 1
20260506T205014Z_582bc954,2026-05-06T20:50:14.479057+00:00,ba190c164955220c487ed4f895f6d8d6ccc9d4d8,portfolio,gen-dfl,gmm,44,1.0,100,200,1,diagonal,0.001,32,10,gurobi,11.0.2,"{""cuda_available"": false, ""cuda_device_count"": 0, ""cuda_device_name"": """", ""machine"": ""arm64"", ""mps_available"": true, ""platform"": ""macOS-26.3.1-arm64-arm-64bit"", ""processor"": ""arm"", ""python"": ""3.12.3"", ""torch"": ""2.3.1""}",71.31957145803608,,,,,,,,,,,,,,,,,,gmm,30,50,success,,results/raw/20260506T205014Z_582bc954.json,logs/portfolio/20260506T205014Z_582bc954.stdout.log,logs/portfolio/20260506T205014Z_582bc954.stderr.log,0,71.31957145803608,"M README.md
 M __pycache__/optModel.cpython-312.pyc
 M configs/portfolio/cnf_main.yaml
 M pred_dfl_portfolio.py
 M results/processed/aggregated_results.csv
 M results/raw/portfolio_generator_comparison.jsonl
 M results/raw/run_registry.csv
 M tests/test_reproducibility_scripts.py
?? __pycache__/optDataset.cpython-312.pyc
?? configs/portfolio/gmm_k_sweep.yaml
?? func/__pycache__/__init__.cpython-312.pyc
?? func/__pycache__/contrastive.cpython-312.pyc
?? scripts/run_portfolio_config.py
?? src/__pycache__/
?? src/evaluation/__pycache__/
?? src/generators/__pycache__/
?? src/training/__pycache__/",/Users/zilikons/conda/envs/gendfl/bin/python end2end_cflowdfl_portfolio_alpha.py --generator gmm --seed 44 --betas 100 --n 200 --m 50 --num_epochs 10 --batch_size 32 --num_generated_samples 200 --contextual_pretrain_epochs 30 --p_theta_pretrain_epochs 50 --learning_rate 0.001 --noise_width 20 --deg 5 --num_experiments 1 --alpha 1.0 --mixture_components 1
